Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1988,3112,Medical Technicians,2,61.7,7272,0.1,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3114,Science Technicians,2,55,13454,0.19,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,21725,0.3,Factory Process Workers,Labourers
1988,8394,Timber and Wood Process Workers,5,79.4,17078,0.24,Factory Process Workers,Labourers
1988,8322,Product Assemblers,5,95.2,44965,0.63,Factory Process Workers,Labourers
1988,8393,Product Quality Controllers,4,97,20810,0.29,Factory Process Workers,Labourers
1988,8399,Other Factory Process Workers,5,81.8,13031,0.18,Factory Process Workers,Labourers
1988,8311,Food and Drink Factory Workers,5,74.2,25904,0.36,Factory Process Workers,Labourers
1988,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,18760,0.26,Factory Process Workers,Labourers
1988,8321,Packers,5,60.1,50370,0.71,Factory Process Workers,Labourers
1988,8413,Forestry and Logging Workers,4,81.8,7298,0.1,"Farm, Forestry and Garden Workers",Labourers
1988,8419,"Other Farm, Forestry and Garden Workers",5,67.5,5039,0.07,"Farm, Forestry and Garden Workers",Labourers
1988,8415,Livestock Farm Workers,5,61.8,40106,0.57,"Farm, Forestry and Garden Workers",Labourers
1988,8414,Garden and Nursery Labourers,5,95,27801,0.39,"Farm, Forestry and Garden Workers",Labourers
1988,1213,Livestock Farmers,1,37.4,95062,1.35,Farmers and Farm Managers,Managers
1988,1214,Mixed Crop and Livestock Farmers,1,59,106454,1.51,Farmers and Farm Managers,Managers
1988,1212,Crop Farmers,1,51,48482,0.68,Farmers and Farm Managers,Managers
1988,1211,Aquaculture Farmers,1,31.2,1819,0.02,Farmers and Farm Managers,Managers
1988,8512,Food Trades Assistants,5,84.3,6819,0.09,Food Preparation Assistants,Labourers
1988,8511,Fast Food Cooks,5,82.8,10857,0.15,Food Preparation Assistants,Labourers
1988,8513,Kitchenhands,5,84.3,77803,1.1,Food Preparation Assistants,Labourers
1988,3511,Bakers and Pastrycooks,3,89,16025,0.22,Food Trades Workers,Technicians and Trades Workers
1988,3512,Butchers and Smallgoods Makers,3,86.4,25670,0.36,Food Trades Workers,Technicians and Trades Workers
1988,3514,Cooks,3,86.2,27424,0.39,Food Trades Workers,Technicians and Trades Workers
1988,3513,Chefs,2,52.2,21512,0.3,Food Trades Workers,Technicians and Trades Workers
1988,5321,Keyboard Operators,4,95.1,134210,1.9,General Clerical Workers,Clerical and Administrative Workers
1988,5311,General Clerks,4,96,76383,1.08,General Clerical Workers,Clerical and Administrative Workers
1988,2525,Physiotherapists,1,2.1,6385,0.09,Health Professionals,Professionals
1988,2526,Podiatrists,1,0.8,866,0.01,Health Professionals,Professionals
1988,2514,Optometrists and Orthoptists,1,14,1997,0.02,Health Professionals,Professionals
1988,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,2635,0.03,Health Professionals,Professionals
1988,2523,Dental Practitioners,1,0.5,5336,0.07,Health Professionals,Professionals
1988,2511,Nutrition Professionals,1,0.4,877,0.01,Health Professionals,Professionals
1988,2521,Chiropractors and Osteopaths,1,0.8,1441,0.02,Health Professionals,Professionals
1988,2522,Complementary Health Therapists,1,2.5,1700,0.02,Health Professionals,Professionals
1988,2512,Medical Imaging Professionals,1,30.2,3872,0.05,Health Professionals,Professionals
1988,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,1636,0.02,Health Professionals,Professionals
1988,2515,Pharmacists,1,1.2,15528,0.22,Health Professionals,Professionals
1988,2524,Occupational Therapists,1,0.8,4466,0.06,Health Professionals,Professionals
1988,2513,Occupational and Environmental Health Professionals,1,12,5770,0.08,Health Professionals,Professionals
1988,4116,Massage Therapists,2,27.2,1347,0.01,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4117,Welfare Support Workers,2,12.7,14819,0.21,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4112,"Dental Hygienists, Technicians and Therapists",2,67,3905,0.05,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4111,Ambulance Officers and Paramedics,2,49.4,5435,0.07,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4114,Enrolled and Mothercraft Nurses,2,5.8,38321,0.54,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4113,Diversional Therapists,3,9.1,924,0.01,Health and Welfare Support Workers,Community and Personal Service Workers
1988,4319,Other Hospitality Workers,5,66.2,2783,0.03,Hospitality Workers,Community and Personal Service Workers
1988,4314,Hotel Service Managers,3,94,6310,0.08,Hospitality Workers,Community and Personal Service Workers
1988,4315,Waiters,4,93.6,48626,0.69,Hospitality Workers,Community and Personal Service Workers
1988,4313,Gaming Workers,4,76.9,3643,0.05,Hospitality Workers,Community and Personal Service Workers
1988,4311,Bar Attendants and Baristas,4,77,41738,0.59,Hospitality Workers,Community and Personal Service Workers
1988,4312,Cafe Workers,5,92.9,11999,0.17,Hospitality Workers,Community and Personal Service Workers
1988,1492,Call or Contact Centre and Customer Service Managers,2,49.9,11463,0.16,"Hospitality, Retail and Service Managers",Managers
1988,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,5536,0.07,"Hospitality, Retail and Service Managers",Managers
1988,1493,Conference and Event Organisers,2,4.9,3294,0.04,"Hospitality, Retail and Service Managers",Managers
1988,1494,Transport Services Managers,2,59,13794,0.19,"Hospitality, Retail and Service Managers",Managers
1988,1413,Hotel and Motel Managers,2,0.4,21218,0.3,"Hospitality, Retail and Service Managers",Managers
1988,1421,Retail Managers,2,16.1,190706,2.71,"Hospitality, Retail and Service Managers",Managers
1988,1411,Cafe and Restaurant Managers,2,8.3,27850,0.39,"Hospitality, Retail and Service Managers",Managers
1988,1499,"Other Hospitality, Retail and Service Managers",2,26.4,55772,0.79,"Hospitality, Retail and Service Managers",Managers
1988,1412,Caravan Park and Camping Ground Managers,2,25,3475,0.04,"Hospitality, Retail and Service Managers",Managers
1988,1419,Other Accommodation and Hospitality Managers,2,26.1,4425,0.06,"Hospitality, Retail and Service Managers",Managers
1988,1414,Licensed Club Managers,2,25,4662,0.06,"Hospitality, Retail and Service Managers",Managers
1988,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,9896,0.14,ICT Professionals,Professionals
1988,2611,ICT Business and Systems Analysts,1,0.7,7619,0.1,ICT Professionals,Professionals
1988,2613,Software and Applications Programmers,1,27.3,26117,0.37,ICT Professionals,Professionals
1988,2633,Telecommunications Engineering Professionals,1,2.5,7000,0.09,ICT Professionals,Professionals
1988,2631,Computer Network Professionals,1,3,7325,0.1,ICT Professionals,Professionals
1988,5411,Call or Contact Centre Workers,3,52.3,13406,0.19,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1988,5412,Information Officers,4,95.9,27789,0.39,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1988,5421,Receptionists,4,91.6,115461,1.64,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1988,2724,Social Professionals,1,24.6,2708,0.03,"Legal, Social and Welfare Professionals",Professionals
1988,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,5711,0.08,"Legal, Social and Welfare Professionals",Professionals
1988,2712,Judicial and Other Legal Professionals,1,11.8,3911,0.05,"Legal, Social and Welfare Professionals",Professionals
1988,2723,Psychologists,1,0.5,4530,0.06,"Legal, Social and Welfare Professionals",Professionals
1988,2713,Solicitors,1,3.5,20844,0.29,"Legal, Social and Welfare Professionals",Professionals
1988,2711,Barristers,1,3.5,2025,0.02,"Legal, Social and Welfare Professionals",Professionals
1988,2721,Counsellors,1,5.2,4902,0.06,"Legal, Social and Welfare Professionals",Professionals
1988,2725,Social Workers,1,3.7,6976,0.09,"Legal, Social and Welfare Professionals",Professionals
1988,2722,Ministers of Religion,1,1.3,12020,0.17,"Legal, Social and Welfare Professionals",Professionals
1988,7117,Textile and Footwear Production Machine Operators,4,71.7,18495,0.26,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7119,Other Machine Operators,4,75.2,10471,0.14,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7121,"Crane, Hoist and Lift Operators",4,72,12584,0.17,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7123,Engineering Production Workers,4,81.8,31723,0.45,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7122,"Drillers, Miners and Shot Firers",4,75,27490,0.39,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7116,Sewing Machinists,4,89,50120,0.71,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7129,Other Stationary Plant Operators,4,61.7,26508,0.37,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4,84.4,7733,0.11,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7112,Industrial Spraypainters,4,79.6,8349,0.11,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7113,Paper and Wood Processing Machine Operators,4,80.1,13197,0.18,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7115,Plastics and Rubber Production Machine Operators,4,87.9,24453,0.34,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7114,Photographic Developers and Printers,4,67.1,10082,0.14,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1988,7211,"Agricultural, Forestry and Horticultural Plant Operators",4,79,7360,0.1,Mobile Plant Operators,Machinery Operators and Drivers
1988,7219,Other Mobile Plant Operators,4,82.1,5807,0.08,Mobile Plant Operators,Machinery Operators and Drivers
1988,7212,Earthmoving Plant Operators,4,93.2,42550,0.6,Mobile Plant Operators,Machinery Operators and Drivers
1988,7213,Forklift Drivers,4,91,27071,0.38,Mobile Plant Operators,Machinery Operators and Drivers
1988,5511,Accounting Clerks,4,97.2,104706,1.48,Numerical Clerks,Clerical and Administrative Workers
1988,5512,Bookkeepers,4,97.7,87437,1.24,Numerical Clerks,Clerical and Administrative Workers
1988,5513,Payroll Clerks,4,97,17856,0.25,Numerical Clerks,Clerical and Administrative Workers
1988,5523,"Insurance, Money Market and Statistical Clerks",4,92.6,27307,0.38,Numerical Clerks,Clerical and Administrative Workers
1988,5522,Credit and Loans Officers,4,90.1,5448,0.07,Numerical Clerks,Clerical and Administrative Workers
1988,5521,Bank Workers,4,97.8,92321,1.31,Numerical Clerks,Clerical and Administrative Workers
1988,5121,Office Managers,2,1.4,62776,0.89,Office Managers and Program Administrators,Clerical and Administrative Workers
1988,5122,Practice Managers,2,60.2,5022,0.07,Office Managers and Program Administrators,Clerical and Administrative Workers
1988,5111,"Contract, Program and Project Administrators",2,34.7,13974,0.19,Office Managers and Program Administrators,Clerical and Administrative Workers
1988,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3,96.6,2790,0.03,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5997,Library Assistants,4,96.3,18460,0.26,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5994,Human Resource Clerks,4,90,10057,0.14,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5993,Debt Collectors,4,95,11375,0.16,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5912,Transport and Despatch Clerks,4,83.5,30333,0.43,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5999,Other Miscellaneous Clerical and Administrative Workers,4,67.3,11784,0.16,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5911,Purchasing and Supply Logistics Clerks,4,75.3,75504,1.07,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5995,Inspectors and Regulatory Officers,4,42.8,26002,0.36,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5992,Court and Legal Clerks,3,87.5,6574,0.09,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,5991,Conveyancers and Legal Executives,2,86.5,3874,0.05,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1988,8991,Caretakers,5,66,7678,0.1,Other Labourers,Labourers
1988,8911,Freight and Furniture Handlers,5,76.7,11551,0.16,Other Labourers,Labourers
1988,8997,Vending Machine Attendants,5,89.2,4038,0.05,Other Labourers,Labourers
1988,8994,Motor Vehicle Parts and Accessories Fitters,4,66.6,7737,0.11,Other Labourers,Labourers
1988,8993,Handypersons,5,65.4,22701,0.32,Other Labourers,Labourers
1988,8996,Recycling and Rubbish Collectors,5,78,4464,0.06,Other Labourers,Labourers
1988,8912,Shelf Fillers,5,64,52496,0.74,Other Labourers,Labourers
1988,8995,Printing Assistants and Table Workers,4,80.4,8506,0.12,Other Labourers,Labourers
1988,8992,Deck and Fishing Hands,4,69.4,9657,0.13,Other Labourers,Labourers
1988,8999,Other Miscellaneous Labourers,5,75.1,33230,0.47,Other Labourers,Labourers
1988,3941,Cabinetmakers,3,91.3,25831,0.36,Other Technicians and Trades Workers,Technicians and Trades Workers
1988,3931,Canvas and Leather Goods Makers,3,69.9,6196,0.08,Other Technicians and Trades Workers,Technicians and Trades Workers
1988,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,10934,0.15,Other Technicians and Trades Workers,Technicians and Trades Workers
1988,3921,Print Finishers and Screen Printers,3,90.1,8003,0.11,Other Technicians and Trades Workers,Technicians and Trades Workers
1988,3922,Graphic Pre-press Trades Workers,3,74.8,14100,0.2,Other Technicians and Trades Workers,Technicians and Trades Workers
