Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1999,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,4684,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2326,Urban and Regional Planners,1,13,5239,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2325,Interior Designers,1,15.1,4642,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2312,Marine Transport Professionals,1,20,9743,0.11,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2311,Air Transport Professionals,1,25.5,10111,0.12,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2322,Surveyors and Spatial Scientists,1,48.7,7389,0.08,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2321,Architects and Landscape Architects,1,2.2,15730,0.19,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2333,Electrical Engineers,1,10,12985,0.15,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2334,Electronics Engineers,1,12.9,5205,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2331,Chemical and Materials Engineers,1,1.8,3255,0.03,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2332,Civil Engineering Professionals,1,1.9,29986,0.36,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2339,Other Engineering Professionals,1,2.2,6377,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2341,Agricultural and Forestry Scientists,1,1.1,5770,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2335,"Industrial, Mechanical and Production Engineers",1,2.1,22019,0.26,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2336,Mining Engineers,1,12,5181,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2346,Medical Laboratory Scientists,1,59.8,14309,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2347,Veterinarians,1,3.8,4803,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2349,Other Natural and Physical Science Professionals,1,16.1,4410,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2345,Life Scientists,1,4.3,5630,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2342,"Chemists, and Food and Wine Scientists",1,6.6,7875,0.09,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2343,Environmental Scientists,1,8.6,11948,0.14,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,6881,0.08,"Design, Engineering, Science and Transport Professionals",Professionals
1999,2492,Private Tutors and Teachers,1,11.9,27634,0.33,Education Professionals,Professionals
1999,2493,Teachers of English to Speakers of Other Languages,1,17.1,1186,0.01,Education Professionals,Professionals
1999,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,13258,0.16,Education Professionals,Professionals
1999,2414,Secondary School Teachers,1,0.8,118880,1.44,Education Professionals,Professionals
1999,2422,Vocational Education Teachers,1,5.3,29741,0.36,Education Professionals,Professionals
1999,2491,Education Advisers and Reviewers,1,0.4,8560,0.1,Education Professionals,Professionals
1999,2415,Special Education Teachers,1,1.1,10385,0.12,Education Professionals,Professionals
1999,2412,Primary School Teachers,1,5.7,129500,1.57,Education Professionals,Professionals
1999,3423,Electronics Trades Workers,3,47.9,34797,0.42,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1999,3424,Telecommunications Trades Workers,3,44.8,29175,0.35,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1999,3422,Electrical Distribution Trades Workers,3,7.3,6778,0.08,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1999,3411,Electricians,3,27.7,94529,1.14,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1999,3421,Airconditioning and Refrigeration Mechanics,3,56.3,16412,0.19,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1999,3126,Safety Inspectors,2,21.1,6311,0.07,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,7906,0.09,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,10922,0.13,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3132,Telecommunications Technical Specialists,2,73.2,4483,0.05,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3131,ICT Support Technicians,2,31,23456,0.28,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3129,Other Building and Engineering Technicians,2,43.5,7154,0.08,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7622,0.09,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3113,Primary Products Inspectors,2,33.7,3161,0.03,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3112,Medical Technicians,2,61.7,11381,0.13,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3111,Agricultural Technicians,2,73.1,2892,0.03,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3122,Civil Engineering Draftspersons and Technicians,2,63,9959,0.12,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3121,"Architectural, Building and Surveying Technicians",2,45.3,43184,0.52,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,3114,Science Technicians,2,55,21979,0.26,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1999,8322,Product Assemblers,5,95.2,46176,0.56,Factory Process Workers,Labourers
1999,8321,Packers,5,60.1,73508,0.89,Factory Process Workers,Labourers
1999,8394,Timber and Wood Process Workers,5,79.4,11293,0.13,Factory Process Workers,Labourers
1999,8393,Product Quality Controllers,4,97,20489,0.24,Factory Process Workers,Labourers
1999,8311,Food and Drink Factory Workers,5,74.2,24343,0.29,Factory Process Workers,Labourers
1999,8399,Other Factory Process Workers,5,81.8,17216,0.2,Factory Process Workers,Labourers
1999,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,14526,0.17,Factory Process Workers,Labourers
1999,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,13401,0.16,Factory Process Workers,Labourers
1999,8414,Garden and Nursery Labourers,5,95,37503,0.45,"Farm, Forestry and Garden Workers",Labourers
1999,8419,"Other Farm, Forestry and Garden Workers",5,67.5,6572,0.07,"Farm, Forestry and Garden Workers",Labourers
1999,8415,Livestock Farm Workers,5,61.8,39984,0.48,"Farm, Forestry and Garden Workers",Labourers
1999,8413,Forestry and Logging Workers,4,81.8,4190,0.05,"Farm, Forestry and Garden Workers",Labourers
1999,1211,Aquaculture Farmers,1,31.2,2340,0.02,Farmers and Farm Managers,Managers
1999,1214,Mixed Crop and Livestock Farmers,1,59,100142,1.21,Farmers and Farm Managers,Managers
1999,1213,Livestock Farmers,1,37.4,84598,1.02,Farmers and Farm Managers,Managers
1999,1212,Crop Farmers,1,51,54117,0.65,Farmers and Farm Managers,Managers
1999,8512,Food Trades Assistants,5,84.3,4448,0.05,Food Preparation Assistants,Labourers
1999,8511,Fast Food Cooks,5,82.8,20950,0.25,Food Preparation Assistants,Labourers
1999,8513,Kitchenhands,5,84.3,96102,1.16,Food Preparation Assistants,Labourers
1999,3513,Chefs,2,52.2,39428,0.47,Food Trades Workers,Technicians and Trades Workers
1999,3511,Bakers and Pastrycooks,3,89,23779,0.28,Food Trades Workers,Technicians and Trades Workers
1999,3514,Cooks,3,86.2,36772,0.44,Food Trades Workers,Technicians and Trades Workers
1999,3512,Butchers and Smallgoods Makers,3,86.4,21937,0.26,Food Trades Workers,Technicians and Trades Workers
1999,5321,Keyboard Operators,4,95.1,130466,1.58,General Clerical Workers,Clerical and Administrative Workers
1999,5311,General Clerks,4,96,67563,0.81,General Clerical Workers,Clerical and Administrative Workers
1999,2513,Occupational and Environmental Health Professionals,1,12,8854,0.1,Health Professionals,Professionals
1999,2512,Medical Imaging Professionals,1,30.2,10149,0.12,Health Professionals,Professionals
1999,2523,Dental Practitioners,1,0.5,7811,0.09,Health Professionals,Professionals
1999,2525,Physiotherapists,1,2.1,10063,0.12,Health Professionals,Professionals
1999,2526,Podiatrists,1,0.8,806,0,Health Professionals,Professionals
1999,2511,Nutrition Professionals,1,0.4,2071,0.02,Health Professionals,Professionals
1999,2515,Pharmacists,1,1.2,15351,0.18,Health Professionals,Professionals
1999,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,3688,0.04,Health Professionals,Professionals
1999,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,2931,0.03,Health Professionals,Professionals
1999,2522,Complementary Health Therapists,1,2.5,4684,0.05,Health Professionals,Professionals
1999,2521,Chiropractors and Osteopaths,1,0.8,3264,0.03,Health Professionals,Professionals
1999,2514,Optometrists and Orthoptists,1,14,3112,0.03,Health Professionals,Professionals
1999,2524,Occupational Therapists,1,0.8,6480,0.07,Health Professionals,Professionals
1999,4113,Diversional Therapists,3,9.1,2288,0.02,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4117,Welfare Support Workers,2,12.7,26729,0.32,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4116,Massage Therapists,2,27.2,4839,0.05,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4114,Enrolled and Mothercraft Nurses,2,5.8,28177,0.34,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4112,"Dental Hygienists, Technicians and Therapists",2,67,5553,0.06,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4111,Ambulance Officers and Paramedics,2,49.4,5738,0.06,Health and Welfare Support Workers,Community and Personal Service Workers
1999,4311,Bar Attendants and Baristas,4,77,58421,0.7,Hospitality Workers,Community and Personal Service Workers
1999,4312,Cafe Workers,5,92.9,16635,0.2,Hospitality Workers,Community and Personal Service Workers
1999,4315,Waiters,4,93.6,86731,1.05,Hospitality Workers,Community and Personal Service Workers
1999,4314,Hotel Service Managers,3,94,6141,0.07,Hospitality Workers,Community and Personal Service Workers
1999,4319,Other Hospitality Workers,5,66.2,3684,0.04,Hospitality Workers,Community and Personal Service Workers
1999,4313,Gaming Workers,4,76.9,7143,0.08,Hospitality Workers,Community and Personal Service Workers
1999,1499,"Other Hospitality, Retail and Service Managers",2,26.4,47338,0.57,"Hospitality, Retail and Service Managers",Managers
1999,1413,Hotel and Motel Managers,2,0.4,23899,0.28,"Hospitality, Retail and Service Managers",Managers
1999,1421,Retail Managers,2,16.1,205740,2.49,"Hospitality, Retail and Service Managers",Managers
1999,1411,Cafe and Restaurant Managers,2,8.3,38593,0.46,"Hospitality, Retail and Service Managers",Managers
1999,1494,Transport Services Managers,2,59,11202,0.13,"Hospitality, Retail and Service Managers",Managers
1999,1419,Other Accommodation and Hospitality Managers,2,26.1,6218,0.07,"Hospitality, Retail and Service Managers",Managers
1999,1414,Licensed Club Managers,2,25,5890,0.07,"Hospitality, Retail and Service Managers",Managers
1999,1493,Conference and Event Organisers,2,4.9,9486,0.11,"Hospitality, Retail and Service Managers",Managers
1999,1492,Call or Contact Centre and Customer Service Managers,2,49.9,14837,0.18,"Hospitality, Retail and Service Managers",Managers
1999,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,5802,0.07,"Hospitality, Retail and Service Managers",Managers
1999,1412,Caravan Park and Camping Ground Managers,2,25,4144,0.05,"Hospitality, Retail and Service Managers",Managers
1999,2633,Telecommunications Engineering Professionals,1,2.5,7493,0.09,ICT Professionals,Professionals
1999,2631,Computer Network Professionals,1,3,17361,0.21,ICT Professionals,Professionals
1999,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,25156,0.3,ICT Professionals,Professionals
1999,2613,Software and Applications Programmers,1,27.3,65839,0.79,ICT Professionals,Professionals
1999,2611,ICT Business and Systems Analysts,1,0.7,19368,0.23,ICT Professionals,Professionals
1999,5421,Receptionists,4,91.6,137696,1.67,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1999,5412,Information Officers,4,95.9,51952,0.63,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1999,5411,Call or Contact Centre Workers,3,52.3,23622,0.28,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1999,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,10864,0.13,"Legal, Social and Welfare Professionals",Professionals
1999,2721,Counsellors,1,5.2,14131,0.17,"Legal, Social and Welfare Professionals",Professionals
1999,2722,Ministers of Religion,1,1.3,14950,0.18,"Legal, Social and Welfare Professionals",Professionals
1999,2711,Barristers,1,3.5,3109,0.03,"Legal, Social and Welfare Professionals",Professionals
1999,2713,Solicitors,1,3.5,32000,0.38,"Legal, Social and Welfare Professionals",Professionals
1999,2725,Social Workers,1,3.7,11227,0.13,"Legal, Social and Welfare Professionals",Professionals
1999,2712,Judicial and Other Legal Professionals,1,11.8,6150,0.07,"Legal, Social and Welfare Professionals",Professionals
1999,2723,Psychologists,1,0.5,8171,0.09,"Legal, Social and Welfare Professionals",Professionals
1999,2724,Social Professionals,1,24.6,7072,0.08,"Legal, Social and Welfare Professionals",Professionals
1999,7114,Photographic Developers and Printers,4,67.1,5440,0.06,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7115,Plastics and Rubber Production Machine Operators,4,87.9,16620,0.2,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7116,Sewing Machinists,4,89,24836,0.3,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7113,Paper and Wood Processing Machine Operators,4,80.1,10981,0.13,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7129,Other Stationary Plant Operators,4,61.7,19455,0.23,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4,84.4,6974,0.08,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7112,Industrial Spraypainters,4,79.6,6617,0.08,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7117,Textile and Footwear Production Machine Operators,4,71.7,12348,0.14,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7119,Other Machine Operators,4,75.2,10375,0.12,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7122,"Drillers, Miners and Shot Firers",4,75,21433,0.26,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7123,Engineering Production Workers,4,81.8,44209,0.53,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7121,"Crane, Hoist and Lift Operators",4,72,9181,0.11,Machine and Stationary Plant Operators,Machinery Operators and Drivers
1999,7212,Earthmoving Plant Operators,4,93.2,47340,0.57,Mobile Plant Operators,Machinery Operators and Drivers
1999,7213,Forklift Drivers,4,91,40428,0.49,Mobile Plant Operators,Machinery Operators and Drivers
1999,7219,Other Mobile Plant Operators,4,82.1,7098,0.08,Mobile Plant Operators,Machinery Operators and Drivers
1999,7211,"Agricultural, Forestry and Horticultural Plant Operators",4,79,8781,0.1,Mobile Plant Operators,Machinery Operators and Drivers
1999,5522,Credit and Loans Officers,4,90.1,23174,0.28,Numerical Clerks,Clerical and Administrative Workers
1999,5523,"Insurance, Money Market and Statistical Clerks",4,92.6,23879,0.28,Numerical Clerks,Clerical and Administrative Workers
1999,5512,Bookkeepers,4,97.7,93537,1.13,Numerical Clerks,Clerical and Administrative Workers
1999,5511,Accounting Clerks,4,97.2,171411,2.07,Numerical Clerks,Clerical and Administrative Workers
1999,5521,Bank Workers,4,97.8,67297,0.81,Numerical Clerks,Clerical and Administrative Workers
1999,5513,Payroll Clerks,4,97,23941,0.29,Numerical Clerks,Clerical and Administrative Workers
1999,5121,Office Managers,2,1.4,68105,0.82,Office Managers and Program Administrators,Clerical and Administrative Workers
1999,5111,"Contract, Program and Project Administrators",2,34.7,39674,0.48,Office Managers and Program Administrators,Clerical and Administrative Workers
1999,5122,Practice Managers,2,60.2,5630,0.06,Office Managers and Program Administrators,Clerical and Administrative Workers
1999,5995,Inspectors and Regulatory Officers,4,42.8,19196,0.23,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5994,Human Resource Clerks,4,90,12568,0.15,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3,96.6,3464,0.04,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5999,Other Miscellaneous Clerical and Administrative Workers,4,67.3,13030,0.15,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5997,Library Assistants,4,96.3,9959,0.12,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5912,Transport and Despatch Clerks,4,83.5,30560,0.37,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5911,Purchasing and Supply Logistics Clerks,4,75.3,75944,0.92,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5991,Conveyancers and Legal Executives,2,86.5,7199,0.08,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5993,Debt Collectors,4,95,8730,0.1,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,5992,Court and Legal Clerks,3,87.5,10226,0.12,Other Clerical and Administrative Workers,Clerical and Administrative Workers
1999,8992,Deck and Fishing Hands,4,69.4,9101,0.11,Other Labourers,Labourers
1999,8993,Handypersons,5,65.4,24765,0.3,Other Labourers,Labourers
1999,8991,Caretakers,5,66,5647,0.06,Other Labourers,Labourers
1999,8911,Freight and Furniture Handlers,5,76.7,10719,0.13,Other Labourers,Labourers
1999,8912,Shelf Fillers,5,64,57487,0.69,Other Labourers,Labourers
1999,8994,Motor Vehicle Parts and Accessories Fitters,4,66.6,11321,0.13,Other Labourers,Labourers
1999,8997,Vending Machine Attendants,5,89.2,4351,0.05,Other Labourers,Labourers
1999,8996,Recycling and Rubbish Collectors,5,78,2490,0.03,Other Labourers,Labourers
1999,8999,Other Miscellaneous Labourers,5,75.1,37197,0.45,Other Labourers,Labourers
1999,8995,Printing Assistants and Table Workers,4,80.4,7540,0.09,Other Labourers,Labourers
1999,3933,Upholsterers,3,39,4976,0.06,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3996,Signwriters,3,93.3,5413,0.06,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3995,Performing Arts Technicians,3,49.6,8586,0.1,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3999,Other Miscellaneous Technicians and Trades Workers,3,46.6,8399,0.1,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3923,Printers,3,83,20523,0.24,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3931,Canvas and Leather Goods Makers,3,69.9,5520,0.06,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3932,Clothing Trades Workers,3,80.9,10515,0.12,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3911,Hairdressers,3,15.8,46103,0.55,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3921,Print Finishers and Screen Printers,3,90.1,7130,0.08,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3922,Graphic Pre-press Trades Workers,3,74.8,9962,0.12,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3993,"Gallery, Library and Museum Technicians",2,90.7,4011,0.04,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,60.3,7413,0.08,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3991,Boat Builders and Shipwrights,3,76,3705,0.04,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3994,Jewellers,3,95,4995,0.06,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3941,Cabinetmakers,3,91.3,25586,0.31,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,10713,0.12,Other Technicians and Trades Workers,Technicians and Trades Workers
1999,5212,Secretaries,3,95.4,128436,1.55,Personal Assistants and Secretaries,Clerical and Administrative Workers
1999,5211,Personal Assistants,3,85.1,74223,0.9,Personal Assistants and Secretaries,Clerical and Administrative Workers
1999,4421,Prison Officers,4,54.6,10532,0.12,Protective Service Workers,Community and Personal Service Workers
1999,4413,Police,2,10.4,43657,0.52,Protective Service Workers,Community and Personal Service Workers
1999,4412,Fire and Emergency Workers,3,19,12776,0.15,Protective Service Workers,Community and Personal Service Workers
1999,4422,Security Officers and Guards,5,83.1,40265,0.48,Protective Service Workers,Community and Personal Service Workers
1999,7313,Train and Tram Drivers,4,75.8,10127,0.12,Road and Rail Drivers,Machinery Operators and Drivers
1999,7321,Delivery Drivers,4,78.7,35242,0.42,Road and Rail Drivers,Machinery Operators and Drivers
1999,7331,Truck Drivers,4,78.4,148796,1.8,Road and Rail Drivers,Machinery Operators and Drivers
1999,7312,Bus and Coach Drivers,4,82.3,29958,0.36,Road and Rail Drivers,Machinery Operators and Drivers
1999,7311,Automobile Drivers,4,78.7,34463,0.41,Road and Rail Drivers,Machinery Operators and Drivers
1999,6211,Sales Assistants (General),5,91.7,430310,5.22,Sales Assistants and Salespersons,Sales Workers
1999,6214,Pharmacy Sales Assistants,5,92.3,27898,0.33,Sales Assistants and Salespersons,Sales Workers
1999,6213,Motor Vehicle and Vehicle Parts Salespersons,4,92.3,21017,0.25,Sales Assistants and Salespersons,Sales Workers
1999,6212,ICT Sales Assistants,5,92.3,13747,0.16,Sales Assistants and Salespersons,Sales Workers
1999,6219,Other Sales Assistants and Salespersons,5,96.2,5520,0.06,Sales Assistants and Salespersons,Sales Workers
1999,6217,Street Vendors and Related Salespersons,5,94,23407,0.28,Sales Assistants and Salespersons,Sales Workers
1999,6215,Retail Supervisors,4,28,23921,0.29,Sales Assistants and Salespersons,Sales Workers
1999,6216,Service Station Attendants,5,75.5,8292,0.1,Sales Assistants and Salespersons,Sales Workers
1999,6112,Insurance Agents,3,88.5,8771,0.1,Sales Representatives and Agents,Sales Workers
1999,6111,"Auctioneers, and Stock and Station Agents",3,34.7,5159,0.06,Sales Representatives and Agents,Sales Workers
1999,6121,Real Estate Sales Agents,3,79.5,50688,0.61,Sales Representatives and Agents,Sales Workers
1999,6113,Sales Representatives,4,77.9,94626,1.14,Sales Representatives and Agents,Sales Workers
1999,6311,Checkout Operators and Office Cashiers,5,96.9,103669,1.25,Sales Support Workers,Sales Workers
1999,6392,Retail and Wool Buyers,3,64.1,3568,0.04,Sales Support Workers,Sales Workers
1999,6391,Models and Sales Demonstrators,5,54.4,11980,0.14,Sales Support Workers,Sales Workers
1999,6393,Telemarketers,5,99,15399,0.18,Sales Support Workers,Sales Workers
1999,6399,Other Sales Support Workers,5,78.6,1596,0.01,Sales Support Workers,Sales Workers
1999,6394,Ticket Salespersons,5,93.2,16175,0.19,Sales Support Workers,Sales Workers
1999,6395,Visual Merchandisers,4,28.4,6674,0.08,Sales Support Workers,Sales Workers
1999,3624,Nurserypersons,3,66,6065,0.07,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3623,Greenkeepers,3,66,12592,0.15,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3611,Animal Attendants and Trainers,3,73.9,10953,0.13,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3612,Shearers,3,61.8,7720,0.09,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3621,Florists,3,40,5422,0.06,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3613,Veterinary Nurses,3,42.6,3859,0.04,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,3622,Gardeners,3,66,42928,0.52,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1999,1343,School Principals,1,0.7,9590,0.11,Specialist Managers,Managers
1999,1391,Commissioned Officers (Management),1,25,1362,0.01,Specialist Managers,Managers
1999,1399,Other Specialist Managers,1,13.1,21461,0.26,Specialist Managers,Managers
1999,1351,ICT Managers,1,3.5,14841,0.18,Specialist Managers,Managers
1999,1344,Other Education Managers,1,0.7,4680,0.05,Specialist Managers,Managers
1999,1322,Finance Managers,1,6.9,41743,0.5,Specialist Managers,Managers
1999,1325,Research and Development Managers,1,1.7,7702,0.09,Specialist Managers,Managers
1999,1331,Construction Managers,1,9.5,46614,0.56,Specialist Managers,Managers
1999,1321,Corporate Services Managers,1,38.9,6502,0.07,Specialist Managers,Managers
1999,1311,"Advertising, Public Relations and Sales Managers",1,1.5,69904,0.84,Specialist Managers,Managers
1999,1323,Human Resource Managers,1,11.3,18518,0.22,Specialist Managers,Managers
1999,1324,Policy and Planning Managers,1,25,11936,0.14,Specialist Managers,Managers
1999,1333,"Importers, Exporters and Wholesalers",1,23.9,15656,0.18,Specialist Managers,Managers
1999,1341,Child Care Centre Managers,1,1.5,5523,0.06,Specialist Managers,Managers
1999,1342,Health and Welfare Services Managers,1,5,7004,0.08,Specialist Managers,Managers
1999,1332,Engineering Managers,1,25,5131,0.06,Specialist Managers,Managers
1999,1336,"Supply, Distribution and Procurement Managers",1,59,10697,0.12,Specialist Managers,Managers
1999,1334,Manufacturers,1,3,20349,0.24,Specialist Managers,Managers
1999,1335,Production Managers,1,5.5,37127,0.45,Specialist Managers,Managers
1999,4514,"Gallery, Museum and Tour Guides",4,61,6126,0.07,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4513,Funeral Workers,2,39,3193,0.03,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4511,Beauty Therapists,4,35.1,12480,0.15,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4515,Personal Care Consultants,4,35.1,2479,0.03,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4512,Driving Instructors,3,13,3676,0.04,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4516,Tourism and Travel Advisers,4,45.6,19294,0.23,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4522,Outdoor Adventure Guides,4,8.3,453,0,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4523,"Sports Coaches, Instructors and Officials",3,8.9,18124,0.21,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4524,Sportspersons,3,40.3,6067,0.07,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4517,Travel Attendants,3,35.4,9548,0.11,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4518,Other Personal Service Workers,4,51.8,4553,0.05,Sports and Personal Service Workers,Community and Personal Service Workers
1999,4521,Fitness Instructors,4,8.3,7653,0.09,Sports and Personal Service Workers,Community and Personal Service Workers
1999,7411,Storepersons,4,76.4,67798,0.82,Storepersons,Machinery Operators and Drivers
2000,2113,Photographers,1,2.1,6851,0.08,Arts and Media Professionals,Professionals
2000,2114,Visual Arts and Crafts Professionals,1,16.5,14425,0.17,Arts and Media Professionals,Professionals
2000,2121,"Artistic Directors, and Media Producers and Presenters",1,10,7701,0.09,Arts and Media Professionals,Professionals
2000,2122,"Authors, and Book and Script Editors",1,38.5,4704,0.05,Arts and Media Professionals,Professionals
2000,2111,"Actors, Dancers and Other Entertainers",1,21.4,6132,0.07,Arts and Media Professionals,Professionals
2000,2112,Music Professionals,1,5.2,10567,0.12,Arts and Media Professionals,Professionals
2000,2123,"Film, Television, Radio and Stage Directors",1,8.5,7346,0.08,Arts and Media Professionals,Professionals
2000,2124,Journalists and Other Writers,1,17,17513,0.2,Arts and Media Professionals,Professionals
2000,3223,Structural Steel and Welding Trades Workers,3,83.2,65362,0.77,Automotive and Engineering Trades Workers,Technicians and Trades Workers
2000,3222,Sheetmetal Trades Workers,3,80.7,8257,0.09,Automotive and Engineering Trades Workers,Technicians and Trades Workers
2000,3241,Panelbeaters,3,80.7,17332,0.2,Automotive and Engineering Trades Workers,Technicians and Trades Workers
2000,3231,Aircraft Maintenance Engineers,3,52.4,13247,0.15,Automotive and Engineering Trades Workers,Technicians and Trades Workers
2000,3232,Metal Fitters and Machinists,3,64.4,98545,1.16,Automotive and Engineering Trades Workers,Technicians and Trades Workers
